C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2020,01,1,14,2,01,QQ,01,2,3,1,01,01,11,UUUU,01,U,UU,11,U,UU,1,000000002795398
2020,01,1,14,2,01,QQ,01,2,3,1,01,01,11,UUUU,02,F,70,23,2,13,2,000000002795398
2020,01,1,UU,2,02,21,02,1,2,1,01,01,01,2006,01,M,54,11,U,UU,1,000000002795536
2020,01,1,UU,2,02,21,02,1,2,1,01,02,01,2007,01,M,54,11,2,02,1,000000002795536
2020,01,1,06,2,02,QQ,02,2,5,1,03,01,01,2020,01,M,37,11,2,02,1,000000002795541
2020,01,1,06,2,02,QQ,02,2,5,1,03,02,01,2001,01,U,UU,11,U,UU,1,000000002795541
2020,01,1,18,2,01,02,02,3,2,1,01,01,11,2011,01,M,48,11,U,UU,1,000000002795542
2020,01,1,18,2,01,02,02,3,2,1,01,99,NN,NNNN,01,F,49,99,2,NN,3,000000002795542
2020,01,1,18,2,02,33,02,1,5,1,01,01,01,2012,01,F,44,11,U,UU,1,000000002795675
2020,01,1,18,2,02,33,02,1,5,1,01,02,01,2012,01,M,58,11,2,02,1,000000002795675
2020,01,1,13,2,02,21,01,4,3,1,18,01,01,2006,01,M,35,11,1,02,1,000000002795832
2020,01,1,13,2,02,21,01,4,3,1,18,02,01,2016,01,F,48,11,2,02,1,000000002795832
2020,01,1,10,2,02,QQ,01,1,3,2,18,01,01,2017,01,M,79,11,U,UU,1,000000002795932
2020,01,1,10,2,02,QQ,01,1,3,2,18,02,01,2013,01,U,UU,11,U,UU,1,000000002795932
2020,01,1,10,2,02,QQ,01,1,3,2,18,99,NN,NNNN,01,M,UU,99,2,NN,3,000000002795932
2020,01,1,20,2,01,02,02,1,2,1,01,01,01,2017,01,M,45,11,U,UU,1,000000002795934
2020,01,1,20,2,01,02,02,1,2,1,01,99,NN,NNNN,01,F,44,99,2,NN,3,000000002795934
2020,01,1,15,2,01,02,02,1,3,1,01,01,01,2008,01,M,36,11,U,UU,1,000000002796109
2020,01,1,15,2,01,02,02,1,3,1,01,99,NN,NNNN,01,F,28,99,2,NN,3,000000002796109
2020,01,1,06,2,02,35,02,1,3,1,01,01,01,2014,01,M,32,11,1,02,1,000000002796117
2020,01,1,06,2,02,35,02,1,3,1,01,02,01,2008,01,M,45,11,2,UU,1,000000002796117
2020,01,1,13,2,01,02,UU,1,3,1,UU,01,01,UUUU,01,U,UU,11,U,UU,1,000000002796122
2020,01,1,13,2,01,02,UU,1,3,1,UU,99,NN,NNNN,01,F,88,99,2,NN,3,000000002796122
2020,01,1,18,2,02,35,02,3,5,1,03,01,01,2003,01,M,35,11,1,UU,1,000000002796126
2020,01,1,18,2,02,35,02,3,5,1,03,02,01,2017,01,F,55,11,2,UU,1,000000002796126
2020,01,1,13,2,01,02,01,2,4,1,18,01,01,2003,01,F,30,11,2,02,1,000000002796327
2020,01,1,16,2,02,35,02,2,4,1,18,01,01,2013,01,M,44,11,U,UU,1,000000002796328
2020,01,1,16,2,02,35,02,2,4,1,18,02,01,2012,01,M,39,11,2,02,1,000000002796328
2020,01,1,18,2,01,02,02,2,4,1,18,01,01,2017,01,F,49,11,U,UU,1,000000002796329
2020,01,1,18,2,01,02,02,2,4,1,18,99,NN,NNNN,01,M,81,99,2,NN,3,000000002796329
2020,01,1,17,2,01,02,02,3,2,1,01,01,01,UUUU,01,U,UU,11,U,UU,1,000000002796339
